4fdb777ae0795a6846ef0928,Zucco-le French Dinner,"SKK,L,FRNKSH,TNR",188 Orchard St,"18,ORKSHRT",188 Orchard St,,10002,,,4.4,1,10,0,"40.721607,-73.988443",,
509819b34a1c905a14003ef0,Zucco Le French Diner,"SKK,L,FRNKSH,TNR",188 Orchard St,"18,ORKSHRT",188 Orchard St,NY,10002,,,-1,0,0,0,"40.7220443,-73.9880915",,
4fdb7aa0e0795a6846f3a2e6,Zucca Trattoria,SKK,95 7th Ave S,"95,70",95 7th Ave S,,10014,,www.zuccanyc.com,3.925,2,17,5,"40.732891,-74.003265",,
509819d14a1c905a14004564,Zucca Trattoria,SKK,PO Box 864,"P,BKS,864",PO Box 864,NY,10011,,,-1,0,0,0,"-74.009447,-74.009447",,
50981a534a1c905a14006499,Zpizza,SPZ,298 Bleecker St,"298,BLKR",298 Bleecker St,NY,10014,,,5,1,1,0,"-74.00372,-74.00372",,
509819f74a1c905a14004e94,Zozos Juice and Grille,"SZ,JK,KRL",172 Orchard St,"172,ORKSHRT",172 Orchard St,NY,10002,,,-1,0,0,0,"-73.988424,-73.988424",,
4fdb75f5e0795a6846ecc8c2,Zou Lian Bo,"S,LN,B",51 Division St,"51,TFKSN",51 Division St,,10002,,,-1,0,0,0,"40.714195,-73.995679",,
50981a6d4a1c905a14006b59,Zone Manhattan,"SN,MNHTN",406 West 13th Street,"406,130",406 West 13th Street,NY,10014,,,4.05,1,10,0,"-74.006429,-74.006429",,
4fdb79e2e0795a6846f27d0c,Zoes Restaurant,S,90 Prince St,"90,PRNK",90 Prince St,,10012,,http://www.zoerest.com/,-1,0,0,0,"40.724553,-73.9985",,
509819b24a1c905a14003eae,Zoe,S,245 Eldridge St,"245,ELTRTK",245 Eldridge St,NY,10002,,www.zoerestaurantnyc.com,4,1,43,18,"40.7227394,-73.9897071",,
50981a114a1c905a14005600,Zodiac Deli,"SXK,TL",104 8th Ave,"104,80",104 8th Ave,NY,10011,,,-1,0,0,0,"-74.001783,-74.001783",,
50981a064a1c905a140052ec,Zipangu,SPNK,71 University Pl,"71,UNFRS",71 University Pl,NY,10003,,,-1,0,0,0,"-73.993493,-73.993493",,
509819f14a1c905a14004cd6,Zio Ristorante,"S,RSTRNT",17 W 19th St,"17,190",17 W 19th St,NY,10011,,,-1,0,0,0,"40.7395602,-73.9924682",,
4fdb74fde0795a6846eb7717,Zigolinis,SKLN,66 Pearl St,"6,PRL",66 Pearl St,,10004,,http://zigolinis.com/,3.5,1,40,15,"40.703646,-74.010871",,
50981a4d4a1c905a140062ed,Zigolinis,SKLN,66 Pearl St Ste 1,"6,PRL,ST,1",66 Pearl St Ste 1,NY,10004,,,4.4,1,8,0,"-74.010822,-74.010822",,
50981ab34a1c905a14008da0,Zigolini's Famiglia,"SKLN,FMKL",66 Pearl St,"6,PRL",66 Pearl St,NY,10004,,www.zigolinis.com,-1,0,7,9,undefined,,
4fdb75a2e0795a6846ec5316,Zig K Corp,SK,127 2nd Ave,"127,2NT",127 2nd Ave,,10003,,,-1,0,0,0,undefined,,
4fdb773de0795a6846eeac90,Zibs Deli and Grocery,"SB,TL",32 Avenue C,"32,K",32 Avenue C,,10009,,,-1,0,0,2,"40.721619,-73.980651",,
4fdb74c8e0795a6846eb24c0,Zibetto Espresso Bar,"SBT,ESPRS,BR",102 Fulton St,"102,FLTN",102 Fulton St,,10038,,,-1,0,0,0,"40.709599,-74.006512",,
4fdb7925e0795a6846f17f17,Zhou Restaurants,"SH,RSTR",15 Essex St,"15,ESKS",15 Essex St,,10002,,,-1,0,0,0,"40.71506,-73.99001",,
509819a04a1c905a14003937,Zheng's Family Garden,"SHNK,FML,KRTN",151 E Broadway,"151,BRTW",151 E Broadway,NY,10002,,,4,1,1,7,"40.713776,-73.990896",,
4fdb7671e0795a6846ed8c18,Zheng Li Yu,"SHNK,L,Y",63 Avenue D,"63,T",63 Avenue D,,10009,,,-1,0,0,0,"40.722038,-73.977233",,
509819d64a1c905a14004774,Zhang Yu Yuan,"SHNK,Y,YN",52 E Broadway Ste 303,"52,BRTW,ST,303",52 E Broadway Ste 303,NY,10002,,,-1,0,0,0,"-73.995606,-73.995606",,
509819ce4a1c905a140044a2,Zeytuna Market,"STN,MRKT",59 Maiden Ln,"59,MTN",59 Maiden Ln,NY,10038,,,-1,0,0,0,"40.708523,-74.008434",,
5098199e4a1c905a140038b5,Zeytuna Market,"STN,MRKT",59 Maiden Ln,"59,MTN",59 Maiden Ln,NY,10038,,,-1,0,0,0,"40.708523,-74.008434",,
4fdb760ae0795a6846ecec70,Zeytuna,STN,59 Maiden Ln,"59,MTN",59 Maiden Ln,,10038,,http://zeytunamarket.com/index.html,3.35,1,13,9,"40.708168,-74.008156",,
509819b14a1c905a14003e34,Zest,SST,249 Broome St,"249,BRM",249 Broome St,NY,10002,,,-1,0,0,0,"40.717833,-73.98996",,
50981a0b4a1c905a1400542c,Zerza,SRZ,320 E 6th St,"320,60",320 E 6th St,NY,10003,,www.zerza.com,4.066666666666666,3,57,19,"40.7268782,-73.9875283",,
4fdb7583e0795a6846ec2352,Zeny Inc.,SN,32 Union Sq E,"32,UNN,SK",32 Union Sq E,,10003,,,-1,0,0,0,"40.736162,-73.989357",,
509819c14a1c905a14004028,Zen Restaurant,SN,31 St. Marks Pl,"31,MRK",31 St. Marks Pl,NY,10003,,,-1,0,0,0,"40.7289693,-73.9882761",,
